customer_email,purchasable,price,quantity,total,date
rickyfriedman@gmail.com,Dark Chocolate Bar,75.38,4,301.52,2024-07-18
brownbilly@hotmail.com,Herbal Green Tea,94.1,3,282.3,2022-01-13
curtisevans@yahoo.com,Natural Honey Jar,95.56,5,477.8,2022-03-14
katrina56@hotmail.com,Gluten-Free Crackers,38.55,4,154.2,2021-09-11
cardenasjoshua@gmail.com,Organic Almond Butter,49.01,1,49.01,2021-11-18
rphillips@sutton-bates.com,Sea Salt Potato Chips,62.35,1,62.35,2022-02-13
curtisevans@yahoo.com,Herbal Green Tea,94.1,5,470.5,2023-02-07
tina89@hotmail.com,Maple Granola Mix,33.34,1,33.34,2022-11-06
millerlisa@mccarthy.org,Coconut Milk Beverage,95.45,5,477.25,2020-06-04
brownbilly@hotmail.com,Roasted Coffee Beans,28.56,2,57.12,2021-11-12
tina89@hotmail.com,Lavender Hand Soap,40.53,5,202.65,2024-09-02
rickyfriedman@gmail.com,Extra Virgin Olive Oil,87.64,3,262.92,2021-06-01
craigbrown@mccarty.com,Chia Seed Pudding,17.89,2,35.78,2020-02-04
greenerin@hotmail.com,Protein Snack Bars,59.72,4,238.88,2021-12-27
greenkeith@yahoo.com,Natural Honey Jar,95.56,2,191.12,2021-11-30
brittney21@stewart.com,Dark Chocolate Bar,75.38,3,226.14,2023-05-09
hawkinsrichard@fry-cooper.net,Citrus Sparkling Water,26.0,4,104.0,2023-03-04
greenkeith@yahoo.com,Herbal Green Tea,94.1,1,94.1,2020-10-18
greenerin@hotmail.com,Extra Virgin Olive Oil,87.64,2,175.28,2022-05-21
carolgriffith@hotmail.com,Sea Salt Potato Chips,62.35,5,311.75,2022-09-27
greenerin@hotmail.com,Organic Almond Butter,49.01,3,147.03,2020-11-23
tina89@hotmail.com,Chia Seed Pudding,17.89,5,89.45,2021-01-08
rphillips@sutton-bates.com,Whole Grain Pasta,71.53,5,357.65,2024-07-04
rphillips@sutton-bates.com,Sourdough Bread Loaf,38.39,5,191.95,2020-09-15
rebecca74@gmail.com,Fresh Avocado Dip,72.83,2,145.66,2020-09-27
millerlisa@mccarthy.org,Sourdough Bread Loaf,38.39,1,38.39,2024-07-27
tina89@hotmail.com,Dark Chocolate Bar,75.38,4,301.52,2021-04-22
katrina56@hotmail.com,Extra Virgin Olive Oil,87.64,2,175.28,2022-04-22
craigbrown@mccarty.com,Whole Grain Pasta,71.53,3,214.59,2024-09-08
millerlisa@mccarthy.org,Fresh Avocado Dip,72.83,2,145.66,2023-08-08
katrina56@hotmail.com,Dark Chocolate Bar,75.38,1,75.38,2021-12-23
curtisevans@yahoo.com,Natural Honey Jar,95.56,2,191.12,2021-01-24
tina89@hotmail.com,Roasted Coffee Beans,28.56,2,57.12,2021-07-20
greenkeith@yahoo.com,Protein Snack Bars,59.72,2,119.44,2020-05-20
curtisevans@yahoo.com,Extra Virgin Olive Oil,87.64,5,438.2,2020-11-21
greenkeith@yahoo.com,Citrus Sparkling Water,26.0,3,78.0,2022-10-07
rphillips@sutton-bates.com,Sea Salt Potato Chips,62.35,3,187.05,2024-05-27
katrina56@hotmail.com,Citrus Sparkling Water,26.0,1,26.0,2021-09-21
kyle41@townsend.com,Protein Snack Bars,59.72,5,298.6,2023-08-23
greenerin@hotmail.com,Fresh Avocado Dip,72.83,2,145.66,2023-06-04
carolgriffith@hotmail.com,Protein Snack Bars,59.72,4,238.88,2023-12-17
hawkinsrichard@fry-cooper.net,Spicy Salsa Jar,77.17,1,77.17,2022-06-22
greenerin@hotmail.com,Lavender Hand Soap,40.53,5,202.65,2020-02-01
curtisevans@yahoo.com,Coconut Milk Beverage,95.45,3,286.35,2022-11-03
paul92@yahoo.com,Spicy Salsa Jar,77.17,1,77.17,2023-06-24
michellehenderson@gmail.com,Extra Virgin Olive Oil,87.64,4,350.56,2023-03-10
rebecca74@gmail.com,Maple Granola Mix,33.34,1,33.34,2023-06-09
jillian25@welch.org,Herbal Green Tea,94.1,4,376.4,2022-01-21
rphillips@sutton-bates.com,Citrus Sparkling Water,26.0,2,52.0,2021-07-18
ehodges@yahoo.com,Mixed Berry Jam,13.43,2,26.86,2023-08-17
michellehenderson@gmail.com,Extra Virgin Olive Oil,87.64,3,262.92,2020-03-06
