customer_email,purchasable,price,quantity,total,date
rickyfriedman@gmail.com,Dark Chocolate Bar,75.38,4,301.52,7/18/2024
brownbilly@hotmail.com,Herbal Green Tea,94.1,3,282.3,1/13/2022
curtisevans@yahoo.com,Natural Honey Jar,95.56,5,477.8,3/14/2022
katrina56@hotmail.com,Gluten-Free Crackers,38.55,4,154.2,9/11/2021
cardenasjoshua@gmail.com,Organic Almond Butter,49.01,1,49.01,11/18/2021
rphillips@sutton-bates.com,Sea Salt Potato Chips,62.35,1,62.35,2/13/2022
curtisevans@yahoo.com,Herbal Green Tea,94.1,5,470.5,2/7/2023
tina89@hotmail.com,Maple Granola Mix,33.34,1,33.34,11/6/2022
millerlisa@mccarthy.org,Coconut Milk Beverage,95.45,5,477.25,6/4/2020
brownbilly@hotmail.com,Roasted Coffee Beans,28.56,2,57.12,11/12/2021
tina89@hotmail.com,Lavender Hand Soap,40.53,5,202.65,9/2/2024
rickyfriedman@gmail.com,Extra Virgin Olive Oil,87.64,3,262.92,6/1/2021
craigbrown@mccarty.com,Chia Seed Pudding,17.89,2,35.78,2/4/2020
greenerin@hotmail.com,Protein Snack Bars,59.72,4,238.88,12/27/2021
greenkeith@yahoo.com,Natural Honey Jar,95.56,2,191.12,11/30/2021
brittney21@stewart.com,Dark Chocolate Bar,75.38,3,226.14,5/9/2023
hawkinsrichard@fry-cooper.net,Citrus Sparkling Water,26,4,104,3/4/2023
greenkeith@yahoo.com,Herbal Green Tea,94.1,1,94.1,10/18/2020
greenerin@hotmail.com,Extra Virgin Olive Oil,87.64,2,175.28,5/21/2022
carolgriffith@hotmail.com,Sea Salt Potato Chips,62.35,5,311.75,9/27/2022
greenerin@hotmail.com,Organic Almond Butter,49.01,3,147.03,11/23/2020
tina89@hotmail.com,Chia Seed Pudding,17.89,5,89.45,1/8/2021
rphillips@sutton-bates.com,Whole Grain Pasta,71.53,5,357.65,7/4/2024
rphillips@sutton-bates.com,Sourdough Bread Loaf,38.39,5,191.95,9/15/2020
rebecca74@gmail.com,Fresh Avocado Dip,72.83,2,145.66,9/27/2020
millerlisa@mccarthy.org,Sourdough Bread Loaf,38.39,1,38.39,7/27/2024
tina89@hotmail.com,Dark Chocolate Bar,75.38,4,301.52,4/22/2021
katrina56@hotmail.com,Extra Virgin Olive Oil,87.64,2,175.28,4/22/2022
craigbrown@mccarty.com,Whole Grain Pasta,71.53,3,214.59,9/8/2024
millerlisa@mccarthy.org,Fresh Avocado Dip,72.83,2,145.66,8/8/2023
katrina56@hotmail.com,Dark Chocolate Bar,75.38,1,75.38,12/23/2021
curtisevans@yahoo.com,Natural Honey Jar,95.56,2,191.12,1/24/2021
tina89@hotmail.com,Roasted Coffee Beans,28.56,2,57.12,7/20/2021
greenkeith@yahoo.com,Protein Snack Bars,59.72,2,119.44,5/20/2020
curtisevans@yahoo.com,Extra Virgin Olive Oil,87.64,5,438.2,11/21/2020
greenkeith@yahoo.com,Citrus Sparkling Water,26,3,78,10/7/2022
rphillips@sutton-bates.com,Sea Salt Potato Chips,62.35,3,187.05,5/27/2024
katrina56@hotmail.com,Citrus Sparkling Water,26,1,26,9/21/2021
kyle41@townsend.com,Protein Snack Bars,59.72,5,298.6,8/23/2023
greenerin@hotmail.com,Fresh Avocado Dip,72.83,2,145.66,6/4/2023
carolgriffith@hotmail.com,Protein Snack Bars,59.72,4,238.88,12/17/2023
hawkinsrichard@fry-cooper.net,Spicy Salsa Jar,77.17,1,77.17,6/22/2022
greenerin@hotmail.com,Lavender Hand Soap,40.53,5,202.65,2/1/2020
curtisevans@yahoo.com,Coconut Milk Beverage,95.45,3,286.35,11/3/2022
paul92@yahoo.com,Spicy Salsa Jar,77.17,1,77.17,6/24/2023
michellehenderson@gmail.com,Extra Virgin Olive Oil,87.64,4,350.56,3/10/2023
rebecca74@gmail.com,Maple Granola Mix,33.34,1,33.34,6/9/2023
jillian25@welch.org,Herbal Green Tea,94.1,4,376.4,1/21/2022
rphillips@sutton-bates.com,Citrus Sparkling Water,26,2,52,7/18/2021
ehodges@yahoo.com,Mixed Berry Jam,13.43,2,26.86,8/17/2023
michellehenderson@gmail.com,Extra Virgin Olive Oil,87.64,3,262.92,3/6/2020
rebecca74@gmail.com,Chia Seed Pudding,17.89,4,71.56,11/19/2022
rickyfriedman@gmail.com,Whole Grain Pasta,71.53,3,214.59,8/13/2020
